ambient_temperature_celsius,battery_voltage,datetime,document_count_ambient_temperature_celsius,document_count_battery_voltage,document_count_ghi_irradiance_wm2,document_count_gri_irradiance_wm2,document_count_panel_temperature_celsius,document_count_poa_irradiance_wm2,document_count_precipitation_accumulated_mm,document_count_tracker_albedo_index,document_count_wind_direction_degrees,document_count_wind_speed_ms,ghi_irradiance_wm2,gri_irradiance_wm2,interpolated_keys_ambient_temperature_celsius,interpolated_keys_battery_voltage,interpolated_keys_ghi_irradiance_wm2,interpolated_keys_gri_irradiance_wm2,interpolated_keys_panel_temperature_celsius,interpolated_keys_poa_irradiance_wm2,interpolated_keys_tracker_albedo_index,interpolated_keys_wind_direction_degrees,interpolated_keys_wind_speed_ms,panel_temperature_celsius,poa_irradiance_wm2,precipitation_accumulated_mm,ps_id,tracker_albedo_index,wind_direction_degrees,wind_speed_ms
16.365191477499696,11.090553733479272,2024-06-06T06:15:00Z,4,4,4,4,4,4,1,4,4,4,-1.17776888503345,0.29934863645562176,,,,,,,,,,14.899999618530275,-1.3741093886476956,0.0,PS_006,-20.958366446241378,360.0,0.5931746189445053
15.533375818668517,11.090854542203155,2024-06-06T06:30:00Z,3,3,3,3,3,3,1,3,3,3,-2.118251316774734,-0.6867436780592516,,,,,,,,,,14.431853917710619,-2.2731561373257145,0.0,PS_006,31.182981524629525,360.00000000000006,0.852733231370635
16.1635696117845,11.088628832848865,2024-06-06T06:45:00Z,4,4,4,4,4,4,1,4,4,4,-0.9371540710804845,0.6490066470107972,,,,,,,,,,14.74214339127484,-1.343261053352978,0.0,PS_006,-48.0381384232001,359.99999999999994,0.9313169489051566
15.377642291215142,11.087317466735838,2024-06-06T07:00:00Z,4,4,4,4,4,4,1,4,4,4,-2.255992302246276,-0.7684155516501008,,,,,,,,,,13.800000190734862,-2.4361548819091707,0.0,PS_006,25.0217569300585,360.0,0.6716457495713458
15.100000381469725,11.086484358900817,2024-06-06T07:15:00Z,3,3,3,3,3,3,1,3,3,3,-1.901874865730789,0.0479650549194153,,,,,,,,,,13.765867267032698,-2.2359083811227314,0.0,PS_006,-3.976850047436023,360.0,0.1030957880486908
14.975414945718729,11.087317466735838,2024-06-06T07:30:00Z,4,4,4,4,4,4,1,4,4,4,-1.939941194768234,-0.17122693511782955,,,,,,,,,,13.375877119984732,-2.425121339024838,0.0,PS_006,5.815518077776803,360.0,0.6626570929104735
14.735952213056045,11.08731746673584,2024-06-06T07:45:00Z,4,4,4,4,4,4,1,4,4,4,-1.8990473027851695,0.058048663214066876,,,,,,,,,,13.306044388345097,-2.283521582918065,0.0,PS_006,-2.691219005033831,360.0,0.5588422556491817
14.596626701389642,11.082847843341053,2024-06-06T08:00:00Z,3,3,3,3,3,3,1,3,3,3,-1.5877227052369978,0.13013146131484518,,,,,,,,,,13.254135588885356,-2.195349001095681,0.0,PS_006,-5.936494866524977,360.00000000000006,1.3081137704943087
13.914373574670128,11.082642220183747,2024-06-06T08:15:00Z,4,4,4,4,4,4,1,4,4,4,-1.98205932269072,-0.23888813343236337,,,,,,,,,,12.968107229269293,-2.4867581835562445,0.0,PS_006,10.352569682262079,360.0,0.9168830375435747
13.8269703147178,11.085051222399967,2024-06-06T08:30:00Z,4,4,4,4,4,4,1,4,4,4,-1.633975379060811,0.0433340502883182,,,,,,,,,,12.586166416766762,-2.1460481673379177,0.0,PS_006,-1.4329104082402715,360.0000000000001,0.35855169811470167
13.829122302489194,11.08276937476417,2024-06-06T08:45:00Z,3,3,3,3,3,3,1,3,3,3,-1.7231332388845526,-0.05619777786756731,,,,,,,,,,12.199999809265138,-2.067128835167685,0.0,PS_006,3.131981569923087,360.0,0.10524913986694459
14.047677151971136,11.081970214843752,2024-06-06T09:00:00Z,4,4,4,4,4,4,1,4,4,4,-1.1213543119475444,0.49316710312324896,,,,,,,,,,12.380295358428608,-1.8025347246945869,0.0,PS_006,-25.24859053549106,360.00000000000006,0.4916372398298196
14.021225336340466,11.080609154277957,2024-06-06T09:15:00Z,4,4,4,4,4,4,1,4,4,4,-1.7110469249753943,-0.16526581684955963,,,,,,,,,,11.865580211388426,-2.230364470852402,0.0,PS_006,7.16893642833578,360.0,-0.008132922155160063
13.499754334849895,11.08197021484375,2024-06-06T09:30:00Z,3,3,3,3,3,3,1,3,3,3,-1.3333088093871426,0.19523481472886642,,,,,,,,,,11.985459631086455,-1.0219715116880486,0.0,PS_006,4.5695848068911955,360.0,0.29445996581145534
13.5,11.079935692730388,2024-06-06T09:45:00Z,4,4,4,4,4,4,1,4,4,4,3.237295447866954,0.5970394256021062,,,,,,,,,,11.733196838159511,4.928310204550635,0.0,PS_006,17.6945884307043,359.99999999999994,0.024348090217126285
13.361094782213712,11.08007160151195,2024-06-06T10:00:00Z,4,4,4,4,4,4,1,4,4,4,20.82380352311049,5.118530411721674,,,,,,,,,,11.487041922270787,23.114976807538913,0.0,PS_006,22.521897053078437,360.00000000000006,0.07872971591070886
14.257417891885066,11.073469446189593,2024-06-06T10:15:00Z,3,3,3,3,3,3,1,3,3,3,51.71558545464627,8.378727721158093,,,,,,,,,,12.157104101163487,75.5776530677635,0.0,PS_006,11.281397303877709,360.0,0.01021376818803775
14.568092648087884,11.07729244232178,2024-06-06T10:30:00Z,4,4,4,4,4,4,1,4,4,4,90.65266870728964,15.008966258145076,,,,,,,,,,13.489541483551113,167.89775875943133,0.0,PS_006,8.967353340182816,360.0,0.09563563689136448
16.377722668798924,11.07423414685688,2024-06-06T10:45:00Z,4,4,4,4,4,4,1,4,4,4,127.23078759924178,24.92326331333907,,,,,,,,,,15.828274043453758,296.64867326689466,0.0,PS_006,8.376643029857293,359.99999999999994,0.02940051920485701
17.63045275892789,11.076478400207135,2024-06-06T11:00:00Z,3,3,3,3,3,3,1,3,3,3,170.8071392821696,37.50330383122061,,,,,,,,,,18.907654149263035,411.85377167040565,0.0,PS_006,9.130839073374272,360.00000000000006,1.1200415835356654
18.727246546229786,11.07729244232178,2024-06-06T11:15:00Z,4,4,4,4,4,4,1,4,4,4,219.92924733125886,47.895660930981855,,,,,,,,,,21.76985174622403,544.2346282079477,0.0,PS_006,8.802896720012837,360.0,0.499595898986348
