Date,my_shape1_temperature,my_shape2_temperature,my_shape3_temperature,my_shape4_temperature,my_shape5_temperature,my_shape6_temperature,my_shape7_temperature,my_shape8_temperature,my_shape9_temperature,my_shape10_temperature,my_shape11_temperature,my_shape12_temperature,my_shape13_temperature,my_shape14_temperature,my_shape15_temperature,my_shape16_temperature,my_shape17_temperature,my_shape18_temperature,my_shape19_temperature,my_shape20_temperature,my_shape21_temperature,my_shape22_temperature,my_shape23_temperature,my_shape24_temperature,my_shape25_temperature,my_shape26_temperature,my_shape27_temperature,my_shape28_temperature,my_shape29_temperature,my_shape30_temperature,my_shape31_temperature,my_shape32_temperature,my_shape33_temperature,my_shape34_temperature,my_shape35_temperature,my_shape36_temperature,my_shape37_temperature,my_shape38_temperature,my_shape39_temperature,my_shape40_temperature,my_shape41_temperature,my_shape42_temperature,my_shape43_temperature,my_shape44_temperature,my_shape45_temperature
2026-01-01 02:45:00,18.6,18.148284,18.146362,18.668577,19.140002,14.333733,14.1,17.0,10.569178,12.582251,25.0,17.046546,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,20.777072,25.0,25.0,25.0,25.0,25.0,20.485386,20.299999,21.6,25.0,21.799999,20.348321,21.748598,25.0,17.945122,19.69326,18.0,20.799999
2026-01-01 02:50:00,18.6,18.178548,18.176709,18.591721,19.277295,14.491377,14.1,16.930671,10.521581,12.555749,25.0,16.958734,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,20.474388,25.0,25.0,25.0,25.0,25.0,20.456759,20.299999,22.481482,25.0,21.799999,20.322911,21.684413,25.0,18.022031,19.683893,18.0,20.743573
2026-01-01 02:55:00,18.6,18.212057,18.210784,18.525091,19.42819,14.810756,14.1,16.770126,10.462811,12.537023,25.0,16.851572,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,20.211964,25.0,25.0,25.0,25.0,25.0,20.420252,20.299999,24.118519,25.0,21.799999,20.306086,21.607713,25.0,18.164861,19.666498,18.0,20.699069
2026-01-01 03:00:00,18.6,18.227878,18.22695,18.45438,19.540701,15.061546,14.1,16.589525,10.3897,12.506428,25.0,16.758282,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,20.1,25.0,25.0,25.0,25.0,25.0,20.375647,20.299999,25.0,25.0,21.799999,20.299999,21.562434,25.0,18.24177,19.657132,18.0,20.665046
2026-01-01 03:05:00,18.6,18.210666,18.212385,18.353975,19.615774,15.173865,14.022223,16.389648,10.254769,12.388229,25.0,16.696511,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,21.370371,25.0,25.0,25.0,25.0,25.0,20.308681,20.322518,25.0,25.0,22.629629,21.518518,21.549205,25.0,18.162277,19.756891,17.881102,20.635178
2026-01-01 03:10:00,18.6,18.178701,18.184679,18.248724,19.675587,15.258446,13.877778,16.158411,10.089395,12.201587,25.0,16.643674,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,23.72963,25.0,25.0,25.0,25.0,25.0,20.225563,20.364339,25.0,25.0,24.17037,23.781481,21.54027,25.0,18.014647,19.965217,17.645967,20.610362
2026-01-01 03:15:00,18.6,18.161489,18.167821,18.200001,19.700001,15.35588,13.8,15.947681,10.00869,12.069196,25.0,16.57264,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,20.156781,20.386858,25.0,25.0,25.0,25.0,21.53699,25.0,17.935154,20.145678,17.476932,20.6
2026-01-01 03:20:00,18.6,18.162979,18.165577,18.250625,19.664036,15.494257,13.8,15.750615,10.168145,12.023816,25.0,16.408903,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,20.103007,20.318552,25.0,25.0,25.0,25.0,21.605178,25.0,17.94532,20.255368,17.417925,20.6
2026-01-01 03:25:00,18.6,18.165747,18.16437,18.344641,19.597245,15.651774,13.8,15.568901,10.464276,11.993811,25.0,16.198243,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,20.057042,20.164277,25.0,25.0,25.0,25.0,21.731812,25.0,17.972485,20.348576,17.377093,20.6
2026-01-01 03:30:00,18.6,18.167237,18.16217,18.395265,19.56128,15.794194,13.8,15.467198,10.623731,11.945279,25.0,16.093958,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,20.037568,20.0,25.0,25.0,25.0,25.0,21.799999,25.0,18.011652,20.434661,17.333102,20.6
