Date,my_shape1_irrad,my_shape2_irrad,my_shape3_irrad,my_shape4_irrad,my_shape5_irrad,my_shape6_irrad,my_shape7_irrad,my_shape8_irrad,my_shape9_irrad,my_shape10_irrad,my_shape11_irrad,my_shape12_irrad,my_shape13_irrad,my_shape14_irrad,my_shape15_irrad,my_shape16_irrad,my_shape17_irrad,my_shape18_irrad,my_shape19_irrad,my_shape20_irrad,my_shape21_irrad,my_shape22_irrad,my_shape23_irrad,my_shape24_irrad,my_shape25_irrad,my_shape26_irrad,my_shape27_irrad,my_shape28_irrad,my_shape29_irrad,my_shape30_irrad,my_shape31_irrad,my_shape32_irrad,my_shape33_irrad,my_shape34_irrad,my_shape35_irrad,my_shape36_irrad,my_shape37_irrad,my_shape38_irrad,my_shape39_irrad,my_shape40_irrad,my_shape41_irrad,my_shape42_irrad,my_shape43_irrad,my_shape44_irrad,my_shape45_irrad
2026-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004332,0.00017,0.0008,0.000442,0.0,0.000442,0.001407,0.000984,0.002024,0.0,0.0,0.0,0.0,0.001067,0.0,4.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.1e-05,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 02:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1e-05,0.0,0.0,0.0,0.004323,0.000194,0.0008,0.00043,0.0,0.00043,0.000933,0.000963,0.001707,0.0,0.0,0.0,0.0,0.001118,0.0,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.8e-05,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 02:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000116,0.0,0.0,0.0,0.004305,0.000212,0.0008,0.00041,0.0,0.00041,0.00031,0.000922,0.001117,0.0,0.0,0.0,0.0,0.001174,0.0,5.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.4e-05,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 02:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000157,0.0,0.0,0.0,0.004296,0.00024,0.0008,0.0004,0.0,0.0004,0.0,0.0009,0.0008,0.0,0.0,0.0,0.0,0.0012,0.0,6.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 02:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000116,0.0,0.0,0.0,0.004337,0.000336,0.0008,0.000477,0.0,0.000477,2.9e-05,0.0009,0.000864,0.0,0.0,0.0,0.0,0.001114,0.0,5.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.2e-05,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 02:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1e-05,0.0,0.0,0.0,0.004412,0.000474,0.0008,0.000619,0.0,0.000619,0.0001,0.0009,0.000982,0.0,0.0,0.0,0.0,0.000952,0.0,3.6e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.1e-05,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004453,0.000545,0.0008,0.000696,0.0,0.000696,0.000185,0.0009,0.001046,0.0,0.0,0.0,0.0,0.00086,0.0,2.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000123,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 02:35:00,3.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004378,0.000404,0.0008,0.000695,0.0,0.000695,0.000322,0.0009,0.000982,0.0,0.0,0.0,0.0,0.000853,0.0,2.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.1e-05,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 02:40:00,9.6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004238,0.000141,0.0008,0.000695,0.0,0.000695,0.000489,0.0009,0.000864,0.0,0.0,0.0,0.0,0.000848,0.0,1.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.2e-05,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 02:45:00,0.00013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004163,0.0,0.0008,0.000694,0.0,0.000694,0.000571,0.0009,0.0008,0.0,0.0,0.0,0.0,0.000847,0.0,1.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
