date,PVSimulator-0.PVPanel_0-irradiance,PVSimulator-0.PVPanel_0-P_dc,PVSimulator-0.PVPanel_0-temperature,InverterSim-0.Inverter_0-Q_ac,InverterSim-0.Inverter_0-P_ac,DSS-0.PVSystem-pv-Q_meas,DSS-0.PVSystem-pv-P_meas,DSS-0.PVSystem-pv-P1,DSS-0.PVSystem-pv-Q1,DSS-0.PVSystem-pv-Q2,DSS-0.PVSystem-pv-P3,DSS-0.PVSystem-pv-P2,DSS-0.PVSystem-pv-Q3,DSS-0.Bus-149-V3_pu,DSS-0.Bus-97-V3_pu,DSS-0.Bus-149-V2_pu,DSS-0.Bus-97-V2_pu,DSS-0.Bus-149-V1_pu,DSS-0.Bus-97-V1_pu,DSS-0.Line-l115-I3_A,DSS-0.Line-l115-I1_ang,DSS-0.Line-l115-Q1_var,DSS-0.Line-l115-P3_w,DSS-0.Line-l115-P2_w,DSS-0.Line-l115-I1_A,DSS-0.Line-l115-P1_w,DSS-0.Line-l115-Q3_var,DSS-0.Line-l115-I2_A,DSS-0.Line-l115-Q2_var,DSS-0.Line-l115-I2_ang,DSS-0.Line-l115-I3_ang
2026-01-01 01:50:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000030214625122,1.0056607382622658,1.0000029388477836,1.010106166153089,1.000001339867692,0.9993790934656464,111.09219919492955,9.617571744977253,-61.020167413296804,231.99408375997476,200.84213971183604,152.06075135829389,360.0828344680415,-131.80058863102389,99.149317715963,-127.94857638558867,-87.50067158952291,149.6014816933233
2026-01-01 01:55:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000030676596436,1.0060306725603243,1.0000030596314602,1.0105404507505007,1.0000014274039648,0.9991371334894447,109.51791710072834,10.393731818248929,-64.69761098724844,226.5098844240884,195.53326428386058,149.30387599090795,352.71050059985294,-133.72542853558517,98.47639583532964,-133.0714726216434,-85.7627556929265,150.55617090669057
2026-01-01 02:00:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000032330824091,1.0068018198492426,1.0000034431865006,1.0120883500092857,1.0000014676333402,0.9989602089605452,105.6024194200549,10.840634201456075,-66.35960834371035,211.05729588473605,177.13924251058046,146.89747124570314,346.5186599303485,-140.65977869369468,96.46192706448068,-149.32415633274317,-79.8701489984323,153.681309259959
2026-01-01 02:05:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.000003196465381,1.0068132566160881,1.0000035058848418,1.0122598479211693,1.0000015840738983,0.9997972493101595,106.42756304996745,12.038038617985633,-71.22399180319363,214.43876122654143,175.4457101317428,142.18174444172627,333.9792724069606,-139.12443981771963,96.64808193798216,-151.9940632046171,-79.09683703308073,152.97457392288138
2026-01-01 02:10:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000030154662256,1.005584093447745,1.0000033957066683,1.0117862964670534,1.0000016172553903,1.0007574777434074,110.62314807020425,12.41584782232604,-72.6038490079819,230.85065782237297,181.20844694338962,140.5922983838051,329.7741666375408,-131.5321859664788,97.23756537867207,-147.33018430903374,-80.88766443620652,149.6729585448289
2026-01-01 02:15:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.00000297191412,1.005514874755482,1.0000031987789417,1.010944245690068,1.0000015061273502,1.0006593599278935,112.01963536760182,11.16290238052965,-67.98927574499531,235.71262757780508,186.30047084987862,146.21295272552595,344.52699176922505,-129.71446980397292,96.76406581848306,-138.94206877204442,-83.28483760045373,148.8240097647909
2026-01-01 02:20:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000028867689235,1.0051258199489832,1.0000030889155918,1.0106332878851858,1.0000014541399715,1.0010194516146544,114.53667347150464,10.638911246122527,-65.81995379800833,244.46097256703746,190.39862325902433,148.43258935441406,350.37376776017845,-126.15322881003715,97.00442716661209,-134.27503218932696,-84.807575437657,147.29550942023084
2026-01-01 02:25:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.00000301918447,1.0061242721379564,1.0000030248112044,1.009980793080005,1.0000014735547484,1.0006941935749707,112.15889998884458,10.779676293493369,-66.6486367490836,234.97417417708442,196.47990409125848,148.3615363649895,350.0433684326223,-131.73278365047307,98.45763496887986,-131.5887715631613,-86.18880006929203,149.27583584869393
2026-01-01 02:30:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000030656735648,1.006354888568721,1.000003076205941,1.010513535537381,1.0000014055452182,0.9992955975618079,111.16782389176126,10.29921729809854,-63.741335934488774,231.12235907690865,198.30199069084108,148.4321588444538,350.75680457300126,-133.68646751440178,99.60306516498096,-133.80944818249225,-85.9897300498834,150.0457611330969
2026-01-01 02:35:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000032516436732,1.0071880267011528,1.0000032515877944,1.0112775517773347,1.0000014918093572,0.9989086358054948,106.74631791885726,11.064553021304256,-67.37573498666269,213.80882498330453,189.68909633989338,146.16511222901545,344.53041782791246,-141.48272423044267,98.46681705504504,-141.23901799555549,-83.32956268569528,153.49332958670357
