index,my_shape1_temperature,my_shape2_temperature,my_shape3_temperature,my_shape4_temperature,my_shape5_temperature
2026-01-01 11:10:00,0.79017,1.118739,1.118506,0.948227,1.274061
2026-01-01 11:15:00,0.796446,1.087172,1.08693,0.960479,1.240457
2026-01-01 11:20:00,0.802379,1.121341,1.121231,0.979721,1.227038
2026-01-01 11:25:00,0.808312,1.15551,1.155533,0.998964,1.213618
2026-01-01 11:30:00,0.814245,1.18968,1.189834,1.018207,1.200199
2026-01-01 11:35:00,0.822157,1.243538,1.243703,1.03007,1.184177
2026-01-01 11:40:00,0.830069,1.297396,1.297572,1.041934,1.168156
2026-01-01 11:45:00,0.83798,1.351254,1.351441,1.053797,1.152134
2026-01-01 11:50:00,0.838654,1.318735,1.318743,1.045018,1.143007
2026-01-01 11:55:00,0.839327,1.286215,1.286044,1.036238,1.13388
2026-01-01 12:00:00,0.84,1.253696,1.253345,1.027459,1.124753
2026-01-01 12:05:00,0.844,1.225302,1.225078,1.024973,1.134114
2026-01-01 12:10:00,0.848,1.196908,1.196811,1.022486,1.143475
2026-01-01 12:15:00,0.852,1.168513,1.168544,1.02,1.152837
2026-01-01 12:20:00,0.857555,1.163629,1.16363,1.028246,1.165472
2026-01-01 12:25:00,0.86311,1.158744,1.158716,1.036491,1.178107
2026-01-01 12:30:00,0.868664,1.15386,1.153802,1.044737,1.190742
2026-01-01 12:35:00,0.881,1.157519,1.157466,1.040354,1.209753
2026-01-01 12:40:00,0.893337,1.161177,1.16113,1.035971,1.228764
2026-01-01 12:45:00,0.905673,1.164836,1.164794,1.031588,1.247775
2026-01-01 12:50:00,0.907029,1.187568,1.18758,1.044243,1.260875
2026-01-01 12:55:00,0.908385,1.2103,1.210366,1.056898,1.273974
2026-01-01 13:00:00,0.909741,1.233032,1.233152,1.069553,1.287074
2026-01-01 13:05:00,0.903717,1.27235,1.272316,1.086006,1.319574
2026-01-01 13:10:00,0.897694,1.311667,1.311481,1.10246,1.352074
2026-01-01 13:15:00,0.89167,1.350984,1.350645,1.118913,1.384573
2026-01-01 13:20:00,0.899516,1.352708,1.352546,1.125998,1.364377
2026-01-01 13:25:00,0.907362,1.354432,1.354446,1.133083,1.344181
2026-01-01 13:30:00,0.915208,1.356155,1.356346,1.140168,1.323985
2026-01-01 13:35:00,0.911472,1.349211,1.349338,1.121074,1.235831
2026-01-01 13:40:00,0.907736,1.342266,1.342329,1.10198,1.147677
2026-01-01 13:45:00,0.904,1.335322,1.33532,1.082886,1.059523
2026-01-01 13:50:00,0.91655,1.342091,1.34207,1.086914,1.037173
2026-01-01 13:55:00,0.929101,1.348861,1.34882,1.090943,1.014823
2026-01-01 14:00:00,0.941651,1.355631,1.355569,1.094971,0.992472
2026-01-01 14:05:00,0.949601,1.347782,1.347632,1.102524,1.056998
2026-01-01 14:10:00,0.957551,1.339933,1.339694,1.110077,1.121524
2026-01-01 14:15:00,0.965501,1.332083,1.331756,1.11763,1.18605
2026-01-01 14:20:00,0.969116,1.304032,1.303674,1.104119,1.351966
2026-01-01 14:25:00,0.97273,1.27598,1.275593,1.090607,1.517882
2026-01-01 14:30:00,0.976345,1.247928,1.247511,1.077095,1.683798
2026-01-01 14:35:00,0.981461,1.248506,1.248251,1.07483,1.73057
2026-01-01 14:40:00,0.986577,1.249085,1.248992,1.072565,1.777342
2026-01-01 14:45:00,0.991693,1.249663,1.249732,1.070299,1.824114
2026-01-01 14:50:00,1.002462,1.220838,1.220914,1.052138,1.764733
2026-01-01 14:55:00,1.013231,1.192012,1.192097,1.033976,1.705351
2026-01-01 15:00:00,1.024,1.163187,1.163279,1.015814,1.64597
2026-01-01 15:05:00,1.025831,1.146069,1.146137,1.019508,1.514205
2026-01-01 15:10:00,1.027662,1.128952,1.128996,1.023202,1.382439
2026-01-01 15:15:00,1.029493,1.111834,1.111855,1.026895,1.250673
2026-01-01 15:20:00,1.020259,1.105424,1.105611,1.029901,1.201606
2026-01-01 15:25:00,1.011026,1.099015,1.099368,1.032907,1.152539
2026-01-01 15:30:00,1.001793,1.092605,1.093124,1.035912,1.103472
2026-01-01 15:35:00,0.987433,1.114868,1.115264,1.039897,1.092015
2026-01-01 15:40:00,0.973074,1.137132,1.137403,1.043881,1.080557
2026-01-01 15:45:00,0.958714,1.159395,1.159542,1.047866,1.0691
2026-01-01 15:50:00,0.950514,1.177659,1.177879,1.036562,1.077918
2026-01-01 15:55:00,0.942314,1.195923,1.196217,1.025258,1.086736
2026-01-01 16:00:00,0.934114,1.214187,1.214554,1.013954,1.095555
2026-01-01 16:05:00,0.939893,1.234887,1.235079,1.015613,1.050119
2026-01-01 16:10:00,0.945671,1.255586,1.255603,1.017272,1.004683
2026-01-01 16:15:00,0.95145,1.276286,1.276127,1.018931,0.959247
2026-01-01 16:20:00,0.946338,1.271574,1.271382,0.980839,0.949748
2026-01-01 16:25:00,0.941226,1.266861,1.266637,0.942747,0.94025
2026-01-01 16:30:00,0.936114,1.262149,1.261892,0.904655,0.930751
2026-01-01 16:35:00,0.926529,1.19754,1.197472,0.906636,0.915974
